Frame,Landmark_0,Landmark_1,Landmark_2,Landmark_3,Landmark_4,Landmark_5,Landmark_6,Landmark_7,Landmark_8,Landmark_9,Landmark_10,Landmark_11,Landmark_12,Landmark_13,Landmark_14,Landmark_15,Landmark_16,Landmark_17,Landmark_18,Landmark_19,Landmark_20,Landmark_21,Landmark_22,Landmark_23,Landmark_24,Landmark_25,Landmark_26,Landmark_27,Landmark_28,Landmark_29,Landmark_30,Landmark_31,Landmark_32
1,"0.5587383508682251,0.3877311944961548","0.5699292421340942,0.3776993453502655","0.5772925019264221,0.3775998055934906","0.5847270488739014,0.3776415288448334","0.5490988492965698,0.3788596987724304","0.5416094064712524,0.3791573941707611","0.5343594551086426,0.3792385756969452","0.5969183444976807,0.3827703297138214","0.5276256799697876,0.38440167903900146","0.5725917220115662,0.3992839455604553","0.5471250414848328,0.3992473781108856","0.652668297290802,0.44569626450538635","0.4683587849140167,0.4398113787174225","0.6781983971595764,0.5220397710800171","0.44656404852867126,0.5178554654121399","0.6662333607673645,0.5978615283966064","0.4805457592010498,0.5885598659515381","0.6611502766609192,0.6224347949028015","0.4835513234138489,0.6086953282356262","0.6474974155426025,0.6196342706680298","0.49683788418769836,0.6078845858573914","0.6451287865638733,0.6104245185852051","0.5022720098495483,0.6023568511009216","0.6151835918426514,0.6017270684242249","0.508085310459137,0.602364718914032","0.6158848404884338,0.7321352362632751","0.5314850807189941,0.7196974158287048","0.6332452297210693,0.8495947122573853","0.5541825294494629,0.8313652873039246","0.6284522414207458,0.8626151084899902","0.5683510899543762,0.8426548838615417","0.6581030488014221,0.900553822517395","0.530046820640564,0.8714811205863953"
2,"0.5659266114234924,0.38983386754989624","0.5751723051071167,0.38103553652763367","0.5827867984771729,0.3812759518623352","0.5898104310035706,0.3817366659641266","0.5558449625968933,0.38144439458847046","0.5483399629592896,0.38179144263267517","0.5411970615386963,0.3820625841617584","0.6016203165054321,0.38995471596717834","0.5303622484207153,0.39005473256111145","0.5783013105392456,0.4024171233177185","0.5530523657798767,0.40226563811302185","0.6558554768562317,0.45250755548477173","0.47548261284828186,0.4531041979789734","0.6828498244285583,0.5328243970870972","0.4566043019294739,0.5331859588623047","0.6620463728904724,0.6080986857414246","0.47447505593299866,0.6017023921012878","0.6597883105278015,0.6292552947998047","0.47955644130706787,0.6233192682266235","0.6464963555335999,0.6277835965156555","0.4881170392036438,0.6202847957611084","0.6437692642211914,0.6198880076408386","0.48981964588165283,0.6131123304367065","0.6227702498435974,0.609869122505188","0.5142102837562561,0.6112973093986511","0.6233131885528564,0.7411429286003113","0.5404818654060364,0.731669008731842","0.6428612470626831,0.8562557101249695","0.5671419501304626,0.8376766443252563","0.6340379118919373,0.8677107095718384","0.5792682766914368,0.849633514881134","0.6762213110923767,0.9057875871658325","0.5424172878265381,0.8759471774101257"
3,"0.5709264278411865,0.39266088604927063","0.5807818174362183,0.3837795853614807","0.5880767107009888,0.38401612639427185","0.5950444340705872,0.38424789905548096","0.5610823035240173,0.383764386177063","0.5538544654846191,0.3839070498943329","0.5462645292282104,0.38424360752105713","0.6048552393913269,0.390089750289917","0.5344657301902771,0.38940495252609253","0.5822122097015381,0.4037257134914398","0.557481586933136,0.40417829155921936","0.6563929915428162,0.44989457726478577","0.48117756843566895,0.4511599540710449","0.6861917972564697,0.5279943943023682","0.46294882893562317,0.5301781296730042","0.6649917364120483,0.5982688665390015","0.47568127512931824,0.5965474843978882","0.6630539298057556,0.6223137378692627","0.4784030616283417,0.6166679859161377","0.6511565446853638,0.6196900010108948","0.48773425817489624,0.613986611366272","0.6480581760406494,0.6120352149009705","0.48979610204696655,0.6081781387329102","0.6257131695747375,0.6063467264175415","0.5171025395393372,0.6066775918006897","0.6263676881790161,0.7380682229995728","0.5399990677833557,0.7280378937721252","0.6427251100540161,0.8559228777885437","0.5685998797416687,0.8369624018669128","0.6378040313720703,0.8671160936355591","0.5825401544570923,0.850653350353241","0.6652657389640808,0.9061328768730164","0.5401496291160583,0.8766424059867859"
4,"0.5734869837760925,0.39472678303718567","0.5828782320022583,0.38627609610557556","0.5903358459472656,0.386327862739563","0.5975155830383301,0.38657689094543457","0.5626431703567505,0.3860931992530823","0.5551833510398865,0.3861636817455292","0.5470861792564392,0.3864150941371918","0.6064289808273315,0.3905549645423889","0.5349729061126709,0.3897433876991272","0.5841463208198547,0.4052146375179291","0.5596308708190918,0.40591558814048767","0.6587278842926025,0.4530031681060791","0.48073819279670715,0.45185932517051697","0.6870091557502747,0.5306130647659302","0.4649677574634552,0.5303910970687866","0.6648420095443726,0.5987937450408936","0.47922036051750183,0.6012580990791321","0.6613706946372986,0.6229630708694458","0.48510026931762695,0.6208909153938293","0.6508351564407349,0.6201866865158081","0.4945203959941864,0.6183794736862183","0.6480554938316345,0.6127288937568665","0.49521082639694214,0.6125949621200562","0.6272966861724854,0.6063641309738159","0.5191085338592529,0.6067807674407959","0.6289111375808716,0.7382136583328247","0.5390681624412537,0.7273438572883606","0.6412137150764465,0.8558022379875183","0.5699295997619629,0.8385968208312988","0.6351403594017029,0.8688986897468567","0.582974910736084,0.8534502983093262","0.6712342500686646,0.9065373539924622","0.5391536951065063,0.8764230012893677"
5,"0.5742111802101135,0.3947318494319916","0.5840818285942078,0.38572317361831665","0.5908886194229126,0.38605085015296936","0.5982257723808289,0.38645797967910767","0.5639563798904419,0.3852187991142273","0.5565763115882874,0.38524290919303894","0.5479605197906494,0.3856387734413147","0.6074594855308533,0.39043372869491577","0.5357803106307983,0.39080899953842163","0.584714949131012,0.40555596351623535","0.5604767799377441,0.40577906370162964","0.6594821810722351,0.4537298083305359","0.4785798490047455,0.45319613814353943","0.6858434677124023,0.5333373546600342","0.46492135524749756,0.530063807964325","0.664705216884613,0.6010648608207703","0.4783116281032562,0.6005394458770752","0.6607432961463928,0.6254944205284119","0.4838298261165619,0.6196275949478149","0.6513717770576477,0.6244077086448669","0.49329760670661926,0.6177859306335449","0.6489782929420471,0.6174843311309814","0.49437975883483887,0.6124742031097412","0.6263357996940613,0.6059262156486511","0.5182375907897949,0.6060374975204468","0.6289651393890381,0.7368370294570923","0.5386266708374023,0.7261449098587036","0.6433766484260559,0.8558701276779175","0.5667413473129272,0.8403884768486023","0.6351184248924255,0.8690041303634644","0.5825992822647095,0.8555029034614563","0.6675206422805786,0.904981255531311","0.5391324162483215,0.8762489557266235"
6,"0.5751151442527771,0.39613449573516846","0.5848502516746521,0.3866652250289917","0.591011106967926,0.38694456219673157","0.5984202027320862,0.3872052729129791","0.5651331543922424,0.38618454337120056","0.5576120018959045,0.38601329922676086","0.5491272807121277,0.38635602593421936","0.6070706248283386,0.39108777046203613","0.5358904600143433,0.39101773500442505","0.5852699875831604,0.40651410818099976","0.5609360337257385,0.40664419531822205","0.6590647101402283,0.4528399109840393","0.4784305989742279,0.4528960585594177","0.6854921579360962,0.5318773984909058","0.46684879064559937,0.5306781530380249","0.6650874018669128,0.6034836769104004","0.47806626558303833,0.5977751016616821","0.6611104011535645,0.6271020174026489","0.48305049538612366,0.6171191334724426","0.6513478755950928,0.6258763074874878","0.49239271879196167,0.6146442294120789","0.6490402817726135,0.6185938119888306","0.4937606453895569,0.6092609167098999","0.6261317729949951,0.6065601110458374","0.5205530524253845,0.6066722273826599","0.629582941532135,0.737920343875885","0.5389499068260193,0.7283179759979248","0.6444841027259827,0.8567527532577515","0.5664907097816467,0.840448260307312","0.6360570788383484,0.8694774508476257","0.5834364891052246,0.8546565771102905","0.6671366691589355,0.9073947668075562","0.5357790589332581,0.8764440417289734"
7,"0.5732619166374207,0.3948360085487366","0.5836512446403503,0.38545531034469604","0.5893442630767822,0.3856954872608185","0.5970029830932617,0.38592061400413513","0.5633648633956909,0.38503748178482056","0.5555404424667358,0.3850918114185333","0.5472233891487122,0.385384738445282","0.6072211861610413,0.3901960253715515","0.5350415706634521,0.390232115983963","0.5853200554847717,0.40527716279029846","0.5594019293785095,0.4050508141517639","0.6616601943969727,0.45362648367881775","0.4790455996990204,0.45239558815956116","0.686025083065033,0.5331998467445374","0.4675893485546112,0.5325513482093811","0.666086733341217,0.6079642176628113","0.4788350760936737,0.6011037826538086","0.661831259727478,0.6324462294578552","0.48521867394447327,0.6208685040473938","0.6505517363548279,0.6311202645301819","0.49419084191322327,0.6184290051460266","0.6480057835578918,0.6235665678977966","0.4950351417064667,0.6123906970024109","0.6257713437080383,0.6079837083816528","0.5207883715629578,0.6079349517822266","0.6295977830886841,0.7383297681808472","0.5421407222747803,0.7298159599304199","0.6453760862350464,0.855561375617981","0.5681654214859009,0.8398913145065308","0.6371062994003296,0.8673127293586731","0.58552485704422,0.8532830476760864","0.6687476634979248,0.9071859121322632","0.5352521538734436,0.8763322830200195"
8,"0.5718535780906677,0.39368265867233276","0.5826476812362671,0.3837806284427643","0.5881018042564392,0.38397371768951416","0.5950921177864075,0.3842831254005432","0.5620706677436829,0.3835112154483795","0.5540066361427307,0.38358229398727417","0.546428382396698,0.38394802808761597","0.6060454249382019,0.3895660638809204","0.53398597240448,0.38991019129753113","0.5850143432617188,0.40447187423706055","0.5579789280891418,0.40419402718544006","0.6611232161521912,0.45262646675109863","0.4782470166683197,0.452254056930542","0.6858401298522949,0.5297165513038635","0.4666503369808197,0.5313161611557007","0.6678122282028198,0.6041938662528992","0.4764690399169922,0.5978285074234009","0.6641533970832825,0.6285098195075989","0.48141035437583923,0.6176445484161377","0.6530911326408386,0.6270355582237244","0.49020111560821533,0.6149516701698303","0.6506240963935852,0.6195050477981567","0.49170657992362976,0.6092390418052673","0.6261376738548279,0.6080392599105835","0.5214077234268188,0.6081727743148804","0.6297818422317505,0.7391954660415649","0.5421466827392578,0.7290990948677063","0.6464073061943054,0.8556020855903625","0.5684241652488708,0.8396998643875122","0.637346625328064,0.8673645257949829","0.5853398442268372,0.8528825044631958","0.6708885431289673,0.9079610109329224","0.5360361933708191,0.8762431144714355"
9,"0.5712477564811707,0.3924587070941925","0.5822649002075195,0.38229209184646606","0.5875067710876465,0.3825569748878479","0.5940215587615967,0.3829614222049713","0.5616600513458252,0.3820851445198059","0.5536273717880249,0.3822236657142639","0.5463498830795288,0.38255128264427185","0.6051828861236572,0.3889610171318054","0.533746063709259,0.38924553990364075","0.5845823884010315,0.4036239981651306","0.5569225549697876,0.4033548831939697","0.6611714959144592,0.45227184891700745","0.47773614525794983,0.4518164098262787","0.6860914826393127,0.5273404717445374","0.4665454924106598,0.5309862494468689","0.6688016057014465,0.6017566919326782","0.4765342175960541,0.5971840620040894","0.6655267477035522,0.6268797516822815","0.4816453158855438,0.6175991892814636","0.6551828980445862,0.6255214214324951","0.49019360542297363,0.615360677242279","0.6528326869010925,0.6176115870475769","0.49163323640823364,0.6095539927482605","0.627002477645874,0.607260525226593","0.5232489109039307,0.6073905229568481","0.6299618482589722,0.7389392852783203","0.5426090359687805,0.727800190448761","0.6463508009910583,0.856300950050354","0.5685927867889404,0.8395501971244812","0.6360341310501099,0.8682037591934204","0.584274411201477,0.8527998924255371","0.6710023880004883,0.9086729288101196","0.5371344089508057,0.876331627368927"
10,"0.5707951188087463,0.3917650282382965","0.5818501114845276,0.38153380155563354","0.5871081948280334,0.3818384110927582","0.5933165550231934,0.38226592540740967","0.5612090229988098,0.3813803791999817","0.5532909631729126,0.3815475404262543","0.5462214946746826,0.38182517886161804","0.6047303676605225,0.38862845301628113","0.5336498022079468,0.3889521658420563","0.5843222141265869,0.4031595289707184","0.5561745762825012,0.4028905928134918","0.6615192890167236,0.4526790976524353","0.47800061106681824,0.4518511891365051","0.6856771111488342,0.5283883810043335","0.46657800674438477,0.5312333703041077","0.6672763228416443,0.6042681932449341","0.4764927625656128,0.5975252389907837","0.6638520956039429,0.6293088793754578","0.4822867810726166,0.6179146766662598","0.6532154679298401,0.6280785799026489","0.49060148000717163,0.6154274344444275","0.650498628616333,0.6201488375663757","0.49178656935691833,0.6094561815261841","0.6276529431343079,0.6073190569877625","0.5239571332931519,0.6072542071342468","0.6302640438079834,0.739483118057251","0.5428845286369324,0.7274410724639893","0.6461725831031799,0.8573406934738159","0.5695006847381592,0.839613139629364","0.6358305215835571,0.870261013507843","0.5844998359680176,0.8529626131057739","0.6728457808494568,0.909489631652832","0.5373353958129883,0.87620609998703"
