Frame,Landmark_0,Landmark_1,Landmark_2,Landmark_3,Landmark_4,Landmark_5,Landmark_6,Landmark_7,Landmark_8,Landmark_9,Landmark_10,Landmark_11,Landmark_12,Landmark_13,Landmark_14,Landmark_15,Landmark_16,Landmark_17,Landmark_18,Landmark_19,Landmark_20,Landmark_21,Landmark_22,Landmark_23,Landmark_24,Landmark_25,Landmark_26,Landmark_27,Landmark_28,Landmark_29,Landmark_30,Landmark_31,Landmark_32
1,"0.5604352951049805,0.2908307611942291","0.5710948705673218,0.2805047333240509","0.5789721012115479,0.28042715787887573","0.5869086384773254,0.28058239817619324","0.5499534010887146,0.2811295986175537","0.54258131980896,0.2817450165748596","0.5334185361862183,0.28229379653930664","0.6000170707702637,0.28781622648239136","0.520747721195221,0.2899475693702698","0.5720395445823669,0.303443044424057","0.5459572076797485,0.3031173050403595","0.6547204256057739,0.3559102416038513","0.4652189016342163,0.362185001373291","0.6626095175743103,0.4447716772556305","0.4528651237487793,0.44638872146606445","0.6609902381896973,0.5186686515808105","0.43673503398895264,0.5128868818283081","0.6591619849205017,0.5424660444259644","0.4385806918144226,0.5384537577629089","0.6480757594108582,0.5403240919113159","0.4508763551712036,0.5364505052566528","0.6451878547668457,0.5327738523483276","0.4543495178222656,0.5286566019058228","0.6047877669334412,0.525408148765564","0.5004034042358398,0.524535596370697","0.596085250377655,0.6590456962585449","0.5043649673461914,0.647696852684021","0.6035588979721069,0.775320827960968","0.5399831533432007,0.7502927780151367","0.5910897254943848,0.7878549695014954","0.5528745651245117,0.7600721120834351","0.6260201334953308,0.8179372549057007","0.5003781318664551,0.7870609164237976"
2,"0.5579671859741211,0.2872457206249237","0.5687790513038635,0.27700406312942505","0.5769387483596802,0.27730289101600647","0.5841963291168213,0.2776068150997162","0.5465394854545593,0.2764984965324402","0.5394914746284485,0.27661094069480896","0.5306152105331421,0.27699631452560425","0.5946251153945923,0.28212839365005493","0.5185839533805847,0.28276029229164124","0.5695223808288574,0.3009966313838959","0.5427976250648499,0.3006460666656494","0.6508876085281372,0.3501640856266022","0.4608386158943176,0.3554192781448364","0.6730431318283081,0.4370764195919037","0.4445514678955078,0.4378710389137268","0.6777136325836182,0.52025306224823","0.4280264973640442,0.5170828700065613","0.6824859976768494,0.5422136187553406","0.4289607107639313,0.5420041680335999","0.6678672432899475,0.5419837236404419","0.44062063097953796,0.5391511917114258","0.6630859971046448,0.5346193909645081","0.44388923048973083,0.5314871072769165","0.6034500598907471,0.5167573690414429","0.4996490180492401,0.5148752927780151","0.5940373539924622,0.6502825021743774","0.5172848105430603,0.6421927809715271","0.6044396162033081,0.7665092349052429","0.5486354231834412,0.744454562664032","0.5978338718414307,0.7787402868270874","0.5637732148170471,0.7561676502227783","0.6219544410705566,0.8101383447647095","0.5085219740867615,0.7800448536872864"
3,"0.5536879897117615,0.28560498356819153","0.5664759278297424,0.2748700976371765","0.5746262073516846,0.27534306049346924","0.5821990370750427,0.2760949730873108","0.542103111743927,0.2745543420314789","0.5355876684188843,0.2748943567276001","0.528023362159729,0.2755969762802124","0.5919947624206543,0.2820447087287903","0.5165888667106628,0.28165656328201294","0.5664637684822083,0.2990289628505707","0.5371042490005493,0.29816848039627075","0.6501231789588928,0.3508632481098175","0.45747503638267517,0.35375574231147766","0.6756588816642761,0.4401683211326599","0.4412763714790344,0.44065403938293457","0.6787390112876892,0.5204451680183411","0.4283773601055145,0.5196295976638794","0.6831874251365662,0.5435749292373657","0.43177253007888794,0.5439717173576355","0.6699511408805847,0.5421406626701355","0.4431627094745636,0.5415821075439453","0.6650437116622925,0.5365012884140015","0.44539159536361694,0.5353039503097534","0.6029442548751831,0.5189797282218933","0.49906477332115173,0.516994833946228","0.5932927131652832,0.6516145467758179","0.5200894474983215,0.6392041444778442","0.6043559908866882,0.7672037482261658","0.5487156510353088,0.7440235614776611","0.5981717705726624,0.7802702188491821","0.5630629658699036,0.7559863328933716","0.6225830912590027,0.8094569444656372","0.5092720985412598,0.7794715166091919"
4,"0.5541837215423584,0.28682032227516174","0.5667185187339783,0.27664563059806824","0.5748744010925293,0.27696529030799866","0.5823949575424194,0.27747058868408203","0.5421591997146606,0.27592629194259644","0.5344372391700745,0.27616026997566223","0.5275287628173828,0.27635812759399414","0.5908719897270203,0.2823714017868042","0.5168381333351135,0.28109705448150635","0.5667557716369629,0.30091825127601624","0.5375309586524963,0.3004170060157776","0.6479873657226562,0.35005006194114685","0.4591449201107025,0.3539309799671173","0.6786686182022095,0.43810978531837463","0.4403379261493683,0.4408339858055115","0.6778920888900757,0.5231848955154419","0.42980659008026123,0.5190185308456421","0.6799872517585754,0.5460597276687622","0.4316835105419159,0.5435284376144409","0.6673259139060974,0.5443001985549927","0.4428085684776306,0.5416308641433716","0.663000226020813,0.5385032892227173","0.44593456387519836,0.5353272557258606","0.6029223799705505,0.5170834064483643","0.49926647543907166,0.5150337219238281","0.5930493474006653,0.6503258943557739","0.52121502161026,0.6360689401626587","0.6040576100349426,0.7702733278274536","0.5487605333328247,0.7430760264396667","0.5985115766525269,0.7851687073707581","0.5624396800994873,0.7553857564926147","0.6205434203147888,0.8107680082321167","0.509289026260376,0.7785417437553406"
5,"0.5531567931175232,0.28583160042762756","0.5657456517219543,0.27541130781173706","0.5739170908927917,0.2757891118526459","0.5812530517578125,0.27626103162765503","0.5411102771759033,0.2745015323162079","0.5326416492462158,0.27455398440361023","0.5257962346076965,0.27479007840156555","0.5890932083129883,0.28209471702575684","0.5162709355354309,0.2807305157184601","0.565341591835022,0.30001741647720337","0.5355777144432068,0.2998250126838684","0.6467261910438538,0.3484393358230591","0.4590916633605957,0.3531338572502136","0.6786653995513916,0.43419399857521057","0.44195157289505005,0.4413204789161682","0.6777103543281555,0.5206688642501831","0.43022799491882324,0.5204071402549744","0.6822237372398376,0.5436249375343323","0.4328686594963074,0.5444302558898926","0.66923588514328,0.5420029759407043","0.4441252052783966,0.542460560798645","0.6639726161956787,0.5363612174987793","0.44690415263175964,0.5357963442802429","0.6032270789146423,0.5162941217422485","0.4994540810585022,0.5142584443092346","0.5935878753662109,0.6517995595932007","0.5212261080741882,0.6360503435134888","0.6041401624679565,0.7690883874893188","0.5493506193161011,0.7410823106765747","0.5996049642562866,0.7829345464706421","0.5622537732124329,0.7519087195396423","0.6201099157333374,0.8115984797477722","0.5105978846549988,0.7760451436042786"
6,"0.5524963140487671,0.28532281517982483","0.5646260380744934,0.27515795826911926","0.5727828145027161,0.27534109354019165","0.5801594257354736,0.2757453918457031","0.5404449701309204,0.2749313712120056","0.531703770160675,0.27507755160331726","0.5243312120437622,0.27558282017707825","0.588197648525238,0.2819451093673706","0.5150399804115295,0.28188982605934143","0.5649120807647705,0.29848533868789673","0.5349513292312622,0.29846426844596863","0.6461833715438843,0.3482702076435089","0.45796772837638855,0.3546762764453888","0.6787645220756531,0.434581995010376","0.442314475774765,0.4416786730289459","0.6782677173614502,0.5187771916389465","0.4325559735298157,0.5206248760223389","0.68226158618927,0.5427559614181519","0.4344046711921692,0.5448117256164551","0.6694594621658325,0.5412265062332153","0.44573745131492615,0.5434671640396118","0.6641406416893005,0.5353291630744934","0.44921213388442993,0.5367803573608398","0.6036019921302795,0.5142647624015808","0.4996620714664459,0.512457013130188","0.5949838161468506,0.6511959433555603","0.5230854749679565,0.6356800198554993","0.6028083562850952,0.7692936658859253","0.5496059656143188,0.7428516149520874","0.5993372797966003,0.783556342124939","0.5620310306549072,0.7538941502571106","0.6187257170677185,0.8123499751091003","0.510488748550415,0.7763960957527161"
7,"0.5526650547981262,0.2852749228477478","0.5647982954978943,0.2750474810600281","0.5727429986000061,0.27532753348350525","0.5797424912452698,0.27550673484802246","0.5411034822463989,0.2748519778251648","0.5324356555938721,0.2752913534641266","0.524764358997345,0.27577847242355347","0.5881157517433167,0.2812460660934448","0.5149967074394226,0.28183507919311523","0.5653759837150574,0.2975170910358429","0.5354664921760559,0.297595351934433","0.6463041305541992,0.34941086173057556","0.4564799964427948,0.3547598421573639","0.6796702146530151,0.43832677602767944","0.4446779489517212,0.4423906207084656","0.6794732809066772,0.5222985744476318","0.43517181277275085,0.5225683450698853","0.6832152605056763,0.5456294417381287","0.43587711453437805,0.5460498929023743","0.6704989671707153,0.5439861416816711","0.447507381439209,0.5452070832252502","0.665369987487793,0.5371031165122986","0.4515649676322937,0.5384427905082703","0.604010820388794,0.515084445476532","0.4998009204864502,0.5132985711097717","0.5960312485694885,0.6510647535324097","0.5230826735496521,0.6357700228691101","0.6024810671806335,0.7676745653152466","0.5500821471214294,0.7428508400917053","0.5992338061332703,0.7815854549407959","0.5623385310173035,0.7534860372543335","0.6171700954437256,0.8102204203605652","0.5104593634605408,0.7757411599159241"
8,"0.5518470406532288,0.2845073640346527","0.5638672113418579,0.2742508351802826","0.571787416934967,0.2745975852012634","0.5786228775978088,0.27472054958343506","0.5405978560447693,0.27420204877853394","0.5320240259170532,0.27476683259010315","0.5240452885627747,0.27530616521835327","0.5876420140266418,0.2804870307445526","0.5146351456642151,0.28147202730178833","0.5651273131370544,0.296570748090744","0.5349664688110352,0.2967126667499542","0.6465063691139221,0.34982576966285706","0.45696479082107544,0.3550693392753601","0.6802491545677185,0.4400866627693176","0.44647225737571716,0.44266432523727417","0.6802565455436707,0.5225178003311157","0.43649551272392273,0.5231255292892456","0.6837897896766663,0.5454901456832886","0.43650057911872864,0.5461912155151367","0.6707385778427124,0.5434843301773071","0.448268860578537,0.545575737953186","0.6655981540679932,0.5365076661109924","0.45265993475914,0.5387235879898071","0.604530394077301,0.5162256956100464","0.5005910396575928,0.5145041942596436","0.5964785814285278,0.6513185501098633","0.5220503211021423,0.6375927925109863","0.6017215251922607,0.7668253183364868","0.5501618385314941,0.7433391213417053","0.5991342663764954,0.780784010887146","0.5625560879707336,0.7543722987174988","0.6157742142677307,0.8105395436286926","0.5103111267089844,0.7754088044166565"
9,"0.5515071153640747,0.28408682346343994","0.5633423328399658,0.27388089895248413","0.571222186088562,0.2742060422897339","0.5778618454933167,0.27431637048721313","0.5404489040374756,0.27381911873817444","0.5320066809654236,0.274332731962204","0.5238638520240784,0.27492856979370117","0.5871805548667908,0.2800704538822174","0.514480710029602,0.28119510412216187","0.5650889277458191,0.29602470993995667","0.5348508358001709,0.29625627398490906","0.6470173597335815,0.34939515590667725","0.45706698298454285,0.35497570037841797","0.6811401844024658,0.43980923295021057","0.44771456718444824,0.4426175653934479","0.6815732717514038,0.5216631293296814","0.43738698959350586,0.5230264663696289","0.6848065853118896,0.5444580316543579","0.4377914369106293,0.5462327599525452","0.6713653206825256,0.5422932505607605","0.4495808780193329,0.5454727411270142","0.6664931178092957,0.5355560183525085","0.4538780152797699,0.5384831428527832","0.6055810451507568,0.5160359144210815","0.5014969110488892,0.5140281915664673","0.5970014929771423,0.6513221263885498","0.5243669748306274,0.6375786066055298","0.6012167930603027,0.7677986025810242","0.5503461360931396,0.7433089017868042","0.5990766882896423,0.7814856171607971","0.5628321170806885,0.7544007301330566","0.61656653881073,0.8118351101875305","0.510487973690033,0.775370717048645"
10,"0.5512760877609253,0.2828611731529236","0.5630754232406616,0.2727546691894531","0.5710124969482422,0.273047536611557","0.577496349811554,0.2732219099998474","0.5402106642723083,0.2727260887622833","0.5318213701248169,0.2731870710849762","0.5234300494194031,0.2738814651966095","0.5870224237442017,0.27921098470687866","0.514203667640686,0.28045105934143066","0.5651964545249939,0.29500141739845276","0.5345419645309448,0.29534345865249634","0.6476890444755554,0.3487975001335144","0.45712077617645264,0.35499536991119385","0.6818711757659912,0.4377230703830719","0.44832533597946167,0.44259896874427795","0.6835545897483826,0.5188019871711731","0.43787938356399536,0.5230411887168884","0.6876955628395081,0.5421748161315918","0.43912816047668457,0.5465011596679688","0.6740545630455017,0.5402791500091553","0.4507136046886444,0.5455570220947266","0.6689320206642151,0.5338262319564819","0.4547843039035797,0.5384041666984558","0.6083291172981262,0.5150497555732727","0.5030688643455505,0.5132275819778442","0.5971256494522095,0.6515581607818604","0.5275218486785889,0.6373375654220581","0.601208508014679,0.7689558267593384","0.550541877746582,0.7427474856376648","0.5989528894424438,0.7821098566055298","0.5628503561019897,0.7535973191261292","0.617286205291748,0.813836932182312","0.5115697383880615,0.7753864526748657"
