Frame,Landmark_0,Landmark_1,Landmark_2,Landmark_3,Landmark_4,Landmark_5,Landmark_6,Landmark_7,Landmark_8,Landmark_9,Landmark_10,Landmark_11,Landmark_12,Landmark_13,Landmark_14,Landmark_15,Landmark_16,Landmark_17,Landmark_18,Landmark_19,Landmark_20,Landmark_21,Landmark_22,Landmark_23,Landmark_24,Landmark_25,Landmark_26,Landmark_27,Landmark_28,Landmark_29,Landmark_30,Landmark_31,Landmark_32
1,"0.5425344109535217,0.38625428080558777","0.5546829700469971,0.37574467062950134","0.5631718039512634,0.3759145140647888","0.5714012980461121,0.37605050206184387","0.5337856411933899,0.3758637607097626","0.5266116261482239,0.37622779607772827","0.5199775099754333,0.3766028583049774","0.5854731798171997,0.38118457794189453","0.511585533618927,0.38267889618873596","0.55756676197052,0.3980368375778198","0.5310858488082886,0.3984895944595337","0.6394302248954773,0.4394424855709076","0.4527326226234436,0.4441927373409271","0.6628443598747253,0.5219042301177979","0.43234896659851074,0.5266949534416199","0.6484259366989136,0.6008058786392212","0.4389655590057373,0.5975965261459351","0.6471611261367798,0.6238117218017578","0.4488410949707031,0.619594931602478","0.6358986496925354,0.622085690498352","0.46077483892440796,0.6178576350212097","0.6338869333267212,0.6143989562988281","0.4609149396419525,0.6112774610519409","0.6078776717185974,0.6093624830245972","0.4962015450000763,0.6116243004798889","0.6106864809989929,0.7404362559318542","0.5216289758682251,0.7378387451171875","0.6260505318641663,0.8793327212333679","0.5563297867774963,0.8599801063537598","0.6139519810676575,0.8979251980781555","0.570408821105957,0.8773820996284485","0.6491131782531738,0.9351666569709778","0.5125154852867126,0.9050854444503784"
2,"0.5374014973640442,0.38481682538986206","0.5502171516418457,0.37442272901535034","0.5586587190628052,0.37457311153411865","0.5664100050926208,0.37472689151763916","0.5274253487586975,0.37446045875549316","0.5209601521492004,0.37465548515319824","0.5138892531394958,0.37499767541885376","0.5797121524810791,0.3805341422557831","0.5050763487815857,0.38160279393196106","0.553657591342926,0.3965030908584595","0.5247551202774048,0.3968706727027893","0.6346738338470459,0.4410209059715271","0.4445491433143616,0.44688963890075684","0.6586325168609619,0.5276693105697632","0.4317173957824707,0.52910315990448","0.6466890573501587,0.6067685484886169","0.4368496239185333,0.5994406342506409","0.6438093185424805,0.6280401945114136","0.4469650387763977,0.6236253976821899","0.6322450637817383,0.62591952085495","0.4574871063232422,0.6215072274208069","0.6300386190414429,0.6185284852981567","0.4563732445240021,0.6139872074127197","0.5985012650489807,0.6114463806152344","0.4871910512447357,0.6128841042518616","0.5987323522567749,0.7474289536476135","0.5180338025093079,0.740237295627594","0.6205213665962219,0.8877999186515808","0.554979681968689,0.867206871509552","0.6145213842391968,0.9041880369186401","0.5683898329734802,0.883283793926239","0.6365578770637512,0.9413334727287292","0.5119224190711975,0.9098264575004578"
3,"0.5307408571243286,0.38173508644104004","0.5450551509857178,0.37151607871055603","0.5536441206932068,0.37159720063209534","0.5617538094520569,0.37168174982070923","0.5212125182151794,0.3724408745765686","0.5151382684707642,0.3728140890598297","0.5085671544075012,0.3733518421649933","0.5767154097557068,0.3784847855567932","0.5013795495033264,0.3806726336479187","0.5497462153434753,0.39344605803489685","0.51839679479599,0.3938293159008026","0.6343722343444824,0.44197553396224976","0.4433467984199524,0.4491431713104248","0.6544150114059448,0.5279379487037659","0.43084657192230225,0.5310965776443481","0.6479471921920776,0.6104797720909119","0.4370824992656708,0.6016049385070801","0.6460530757904053,0.6326883435249329","0.4470512270927429,0.6246870756149292","0.6348625421524048,0.631301999092102","0.45662254095077515,0.6228480339050293","0.6318486928939819,0.6234964728355408","0.4557504951953888,0.616333544254303","0.5981701016426086,0.6133601069450378","0.48792922496795654,0.6145215630531311","0.6000224351882935,0.7521445155143738","0.51575767993927,0.7423858642578125","0.6180559396743774,0.8870459794998169","0.5536561012268066,0.8678787350654602","0.613170325756073,0.9033163785934448","0.5676243901252747,0.8838121294975281","0.6372454762458801,0.940813422203064","0.511340856552124,0.909994900226593"
4,"0.5296125411987305,0.3815109133720398","0.5436630249023438,0.3711059093475342","0.5521104335784912,0.371206134557724","0.5600782036781311,0.3712635934352875","0.5195225477218628,0.37193337082862854","0.5130653977394104,0.3723349869251251","0.5072320103645325,0.37277305126190186","0.5742242336273193,0.3781117796897888","0.499599426984787,0.3802192509174347","0.5484379529953003,0.39335253834724426","0.5161070823669434,0.39360445737838745","0.6329514980316162,0.44222697615623474","0.4419122040271759,0.44994083046913147","0.653786838054657,0.5273632407188416","0.4349991977214813,0.5320929288864136","0.6438248753547668,0.6099128723144531","0.44089826941490173,0.6041214466094971","0.6403958797454834,0.6320899128913879","0.45163577795028687,0.6255994439125061","0.6297703981399536,0.6308988332748413","0.4610193073749542,0.6237029433250427","0.6270558834075928,0.6240860223770142","0.4613383412361145,0.617708146572113","0.5961735844612122,0.6145176887512207","0.4857028126716614,0.615607738494873","0.6003865599632263,0.7534574866294861","0.5114045739173889,0.7446850538253784","0.619038462638855,0.8877803683280945","0.5529952645301819,0.8672422170639038","0.6135426163673401,0.9051507115364075","0.5671085119247437,0.8822566270828247","0.6364719271659851,0.9439729452133179","0.5111957788467407,0.9106359481811523"
5,"0.5299354791641235,0.38150057196617126","0.5434995293617249,0.37103649973869324","0.5516023635864258,0.37113451957702637","0.5597360730171204,0.3712369501590729","0.5194106698036194,0.3717312812805176","0.5123599171638489,0.3721544146537781","0.5068653225898743,0.37252894043922424","0.5728393793106079,0.378126323223114","0.4989098310470581,0.3799881637096405","0.5481505990028381,0.3933769166469574","0.515250563621521,0.3935546278953552","0.631515622138977,0.44201165437698364","0.4403030276298523,0.45009416341781616","0.6558241844177246,0.5226348638534546","0.43199822306632996,0.5298689007759094","0.6451443433761597,0.6032469272613525","0.43814700841903687,0.5992744565010071","0.6426219344139099,0.6252956390380859","0.4471668303012848,0.6208077669143677","0.6319171786308289,0.6236433982849121","0.45789337158203125,0.6192172169685364","0.6287311315536499,0.6170095801353455","0.4578310549259186,0.6130141019821167","0.5950674414634705,0.6140822172164917","0.4852423369884491,0.6152910590171814","0.60124671459198,0.754889726638794","0.5081742405891418,0.7454642653465271","0.6200752258300781,0.888649582862854","0.5529607534408569,0.8686715960502625","0.6139339208602905,0.9063049554824829","0.5670906901359558,0.8829312324523926","0.6376320123672485,0.9438826441764832","0.511198103427887,0.9123110771179199"
6,"0.5313966274261475,0.38168424367904663","0.5443370938301086,0.37113067507743835","0.5521928071975708,0.37118977308273315","0.5603799819946289,0.3712800145149231","0.520427942276001,0.3717992901802063","0.5128691792488098,0.37220796942710876","0.5070803165435791,0.3725886940956116","0.5720272660255432,0.3780757784843445","0.49873682856559753,0.37996330857276917","0.5486562252044678,0.39353957772254944","0.5162377953529358,0.39376750588417053","0.632294237613678,0.4419253468513489","0.43957236409187317,0.4499211311340332","0.6609556078910828,0.5227566957473755","0.43023571372032166,0.5297369360923767","0.6479870080947876,0.6031461954116821","0.43503206968307495,0.597153902053833","0.6449807286262512,0.6266157627105713","0.44199514389038086,0.6192772388458252","0.6331084966659546,0.6243811845779419","0.45313766598701477,0.6174812912940979","0.629313588142395,0.6172739267349243","0.4540669023990631,0.6107848286628723","0.5935204029083252,0.6138735413551331","0.48401057720184326,0.6150910258293152","0.6000850796699524,0.755562424659729","0.5084383487701416,0.7466198205947876","0.6207476854324341,0.8883134126663208","0.552647590637207,0.8681599497795105","0.6140297651290894,0.9051557779312134","0.5668501257896423,0.8819656372070312","0.6360021233558655,0.9466541409492493","0.5111932754516602,0.9131865501403809"
7,"0.5313705801963806,0.38181787729263306","0.5441243052482605,0.37117862701416016","0.5517355799674988,0.3711914122104645","0.5598248243331909,0.37125080823898315","0.5206613540649414,0.3718775510787964","0.5128576755523682,0.3722870945930481","0.5068888664245605,0.3726893663406372","0.570762574672699,0.3779766857624054","0.4990915060043335,0.3799998462200165","0.5482215285301208,0.39366182684898376","0.5163096785545349,0.39390650391578674","0.6319724321365356,0.4418083131313324","0.44102680683135986,0.44960325956344604","0.6631274223327637,0.5211439728736877","0.43103229999542236,0.5287473797798157","0.6470708250999451,0.5996576547622681","0.4337007701396942,0.5972455739974976","0.6460004448890686,0.6230497360229492","0.43968191742897034,0.6190906763076782","0.633226752281189,0.6206642389297485","0.4497471749782562,0.6170345544815063","0.6288807392120361,0.6136537790298462","0.450883150100708,0.6102029085159302","0.5929572582244873,0.6136011481285095","0.484618216753006,0.6148959398269653","0.5988792181015015,0.7536486983299255","0.5096530914306641,0.745956301689148","0.6209626793861389,0.8857806324958801","0.5523553490638733,0.8676126599311829","0.6142312288284302,0.902691662311554","0.5668310523033142,0.8813327550888062","0.6358134150505066,0.9458277821540833","0.5099682211875916,0.9124552011489868"
8,"0.5288751125335693,0.38190215826034546","0.5423111319541931,0.37123340368270874","0.5501112341880798,0.3711957633495331","0.5583078861236572,0.37123584747314453","0.5187200903892517,0.3719494044780731","0.5110248327255249,0.37235429883003235","0.505442202091217,0.3727486729621887","0.5699675679206848,0.37789446115493774","0.49839282035827637,0.38002893328666687","0.5463417768478394,0.39375442266464233","0.5140745043754578,0.39402681589126587","0.6316097378730774,0.44175153970718384","0.44265908002853394,0.44945114850997925","0.6642330288887024,0.5186654329299927","0.4329843819141388,0.5267189741134644","0.6491031646728516,0.5969319343566895","0.43290117383003235,0.5940672755241394","0.6496444940567017,0.6207598447799683","0.43764975666999817,0.6152696013450623","0.6361685991287231,0.6189984679222107","0.4466666281223297,0.6132938861846924","0.6313635110855103,0.6119996905326843","0.4483240246772766,0.6069835424423218","0.591925323009491,0.6133784055709839","0.4847612679004669,0.6147463917732239","0.5963708162307739,0.7533729076385498","0.5098309516906738,0.7460988163948059","0.6199081540107727,0.8845246434211731","0.552328884601593,0.8678780794143677","0.6141371726989746,0.8996760249137878","0.5668672919273376,0.8814715147018433","0.6335672736167908,0.9469650983810425","0.5081704258918762,0.9121789932250977"
9,"0.5288677215576172,0.38200944662094116","0.5421299934387207,0.3712715208530426","0.5499140620231628,0.3712442219257355","0.5581591129302979,0.3712849020957947","0.5187360048294067,0.37197357416152954","0.5108307600021362,0.3723822832107544","0.5051385760307312,0.37277185916900635","0.5698481202125549,0.3779146075248718","0.4981749951839447,0.3800523579120636","0.5458425879478455,0.393777072429657","0.5139036178588867,0.39407283067703247","0.6317085027694702,0.4416801333427429","0.44243404269218445,0.4493420124053955","0.6643872857093811,0.5194276571273804","0.4329063296318054,0.5278034806251526","0.6477128267288208,0.5995479226112366","0.43351906538009644,0.5962432622909546","0.6466363072395325,0.624018669128418","0.4391566812992096,0.6174585819244385","0.6331897974014282,0.6219981908798218","0.4488484263420105,0.6157245635986328","0.6290394067764282,0.614679753780365","0.4498203694820404,0.6092948913574219","0.5918450951576233,0.6132339239120483","0.4841424226760864,0.614667534828186","0.5975600481033325,0.7529162168502808","0.5105463862419128,0.7462437152862549","0.6200646162033081,0.8856526613235474","0.5522435307502747,0.8679546117782593","0.61420738697052,0.9012260437011719","0.5668727159500122,0.8815404772758484","0.6338942050933838,0.9472482800483704","0.5080932378768921,0.912303626537323"
10,"0.5294384956359863,0.38220149278640747","0.5424442291259766,0.3713177740573883","0.5501540899276733,0.3712746202945709","0.5583829879760742,0.371310830116272","0.5192168354988098,0.3720385432243347","0.5111526250839233,0.37240588665008545","0.5051403641700745,0.37279000878334045","0.5699061155319214,0.377927303314209","0.49824973940849304,0.3800707459449768","0.5460374355316162,0.3938899636268616","0.5142994523048401,0.39419084787368774","0.631750762462616,0.44161009788513184","0.4420698285102844,0.4492120146751404","0.6634005904197693,0.5208390951156616","0.43436509370803833,0.5278638005256653","0.6472536325454712,0.6012738347053528","0.43419474363327026,0.5967785716056824","0.6449025869369507,0.6254155039787292","0.44028130173683167,0.6180227994918823","0.6325729489326477,0.623526930809021","0.45020049810409546,0.6167691946029663","0.6289643049240112,0.6161791086196899","0.45075684785842896,0.6099184155464172","0.5925609469413757,0.6131150722503662","0.4843042492866516,0.6145907044410706","0.5978928208351135,0.752926230430603","0.5110039710998535,0.7462509274482727","0.6201038360595703,0.8871213793754578","0.5522914528846741,0.8683919906616211","0.614281952381134,0.9026414155960083","0.5669205784797668,0.8818858861923218","0.6339521408081055,0.9476026296615601","0.5077979564666748,0.912150502204895"
