Frame,Landmark_0,Landmark_1,Landmark_2,Landmark_3,Landmark_4,Landmark_5,Landmark_6,Landmark_7,Landmark_8,Landmark_9,Landmark_10,Landmark_11,Landmark_12,Landmark_13,Landmark_14,Landmark_15,Landmark_16,Landmark_17,Landmark_18,Landmark_19,Landmark_20,Landmark_21,Landmark_22,Landmark_23,Landmark_24,Landmark_25,Landmark_26,Landmark_27,Landmark_28,Landmark_29,Landmark_30,Landmark_31,Landmark_32
1,"0.5643676519393921,0.4049359858036041","0.5741870999336243,0.39681732654571533","0.5804978609085083,0.3970947563648224","0.5856518745422363,0.39743974804878235","0.5562429428100586,0.39666688442230225","0.5486923456192017,0.39686310291290283","0.5427179336547852,0.39733797311782837","0.5959952473640442,0.4033353924751282","0.5363019108772278,0.40147513151168823","0.5764620304107666,0.4145326018333435","0.5543979406356812,0.41580262780189514","0.6476057767868042,0.4514135718345642","0.4903727173805237,0.451320081949234","0.670143187046051,0.5208512544631958","0.4701007306575775,0.5280894041061401","0.6516358256340027,0.5919568538665771","0.4559619426727295,0.5951955318450928","0.6534627079963684,0.6144247651100159","0.45427510142326355,0.6157289147377014","0.6400842070579529,0.6124358177185059","0.46714895963668823,0.6154135465621948","0.6360845565795898,0.6065024137496948","0.4703810513019562,0.6095191836357117","0.6102107763290405,0.6055785417556763","0.5174781084060669,0.6040881872177124","0.6051133871078491,0.7274156808853149","0.51329505443573,0.7055149674415588","0.6146799921989441,0.8373976945877075","0.5449888110160828,0.812469482421875","0.6051086187362671,0.8484150171279907","0.5565149784088135,0.8212275505065918","0.633735179901123,0.8783069849014282","0.52823406457901,0.8485615849494934"
2,"0.5595733523368835,0.40666189789772034","0.5676098465919495,0.3978812098503113","0.5743077397346497,0.39798504114151","0.5802137851715088,0.39816680550575256","0.5498366951942444,0.39803844690322876","0.543016254901886,0.39825406670570374","0.5370785593986511,0.3986591696739197","0.5897948145866394,0.40305766463279724","0.528007447719574,0.402077853679657","0.5692564249038696,0.41591453552246094","0.5490002632141113,0.4175679683685303","0.6374532580375671,0.45131152868270874","0.4818108081817627,0.4551509916782379","0.6641227006912231,0.5262521505355835","0.4609764516353607,0.5314195156097412","0.6642871499061584,0.6046628355979919","0.45142829418182373,0.601241409778595","0.6630749106407166,0.6237437725067139","0.45072945952415466,0.6229344606399536","0.6499955654144287,0.6222745180130005","0.4614472985267639,0.6223177909851074","0.6458718776702881,0.6180281043052673","0.4641980826854706,0.6164397597312927","0.6001208424568176,0.6035723090171814","0.5104463696479797,0.6021630167961121","0.6004111170768738,0.7235555648803711","0.5222713351249695,0.7075053453445435","0.6103428602218628,0.8378043174743652","0.5493377447128296,0.812277615070343","0.6032992601394653,0.8489106893539429","0.5589876174926758,0.8216022253036499","0.6255279779434204,0.8787038922309875","0.5277193188667297,0.8456609845161438"
3,"0.5584657788276672,0.40868663787841797","0.5674089789390564,0.39904940128326416","0.5738382339477539,0.399101197719574","0.5802323818206787,0.39919957518577576","0.5487765073776245,0.3992227017879486","0.5431158542633057,0.3992760479450226","0.5359076857566833,0.3996325135231018","0.5888770818710327,0.40316057205200195","0.5272923707962036,0.40263503789901733","0.5676989555358887,0.4180940091609955","0.5469197630882263,0.41974836587905884","0.6370334029197693,0.4514625668525696","0.47972509264945984,0.45558658242225647","0.6610584259033203,0.525059700012207","0.4629892110824585,0.5323930382728577","0.6660447120666504,0.5983299016952515","0.451284795999527,0.5989297032356262","0.6634642481803894,0.6218202710151672","0.4506746828556061,0.6207941770553589","0.6514747738838196,0.6205422282218933","0.4589982330799103,0.6197961568832397","0.6481850743293762,0.6158583760261536","0.46170365810394287,0.614659309387207","0.5949901938438416,0.602896511554718","0.5070751309394836,0.6007063388824463","0.5980712175369263,0.7240920662879944","0.5209212899208069,0.7085391283035278","0.6091331839561462,0.8398479223251343","0.550449013710022,0.8123520612716675","0.603090763092041,0.8532181978225708","0.5597013831138611,0.8218595385551453","0.6279096603393555,0.8790715336799622","0.5277618169784546,0.8438831567764282"
4,"0.5570911765098572,0.4083169400691986","0.5665063858032227,0.3990122079849243","0.5729784369468689,0.3990923762321472","0.5789971351623535,0.3992351293563843","0.5474127531051636,0.39907532930374146","0.5416664481163025,0.39911359548568726","0.5360555648803711,0.39944085478782654","0.5881133079528809,0.4030756950378418","0.5265691876411438,0.4026064872741699","0.5666280388832092,0.417881578207016","0.543994665145874,0.4193601608276367","0.6349327564239502,0.45140892267227173","0.4776257276535034,0.4560874104499817","0.6596089005470276,0.5270885229110718","0.46098992228507996,0.532983124256134","0.6639589667320251,0.6046929359436035","0.4537353515625,0.6001112461090088","0.6622981429100037,0.626203179359436","0.4527941346168518,0.6204633116722107","0.6498159170150757,0.6244180202484131","0.46244558691978455,0.6197651624679565","0.646679699420929,0.619182825088501","0.46583297848701477,0.6150423288345337","0.5923371315002441,0.6012763977050781","0.5050973296165466,0.5985989570617676","0.5969271063804626,0.7237215638160706","0.5244317054748535,0.7087737321853638","0.610558271408081,0.8406758308410645","0.5508347749710083,0.8121525049209595","0.6034680008888245,0.8538981676101685","0.5598722100257874,0.8220418691635132","0.6280421018600464,0.8795751333236694","0.5277934670448303,0.844029426574707"
5,"0.5564247965812683,0.40832701325416565","0.5658905506134033,0.3990800976753235","0.5721324682235718,0.3991345167160034","0.577804684638977,0.39927759766578674","0.5468524694442749,0.39911431074142456","0.5402275919914246,0.399165540933609","0.5352726578712463,0.39946311712265015","0.5870552062988281,0.40299445390701294","0.5271525979042053,0.40265393257141113","0.5661742091178894,0.4179648458957672","0.5432949662208557,0.4193408489227295","0.6355189085006714,0.45136499404907227","0.4791698753833771,0.45659416913986206","0.6600717902183533,0.5275254845619202","0.4633031487464905,0.5325680375099182","0.6633245348930359,0.6033948063850403","0.45279666781425476,0.5992117524147034","0.662431538105011,0.6259242296218872","0.451627254486084,0.6194827556610107","0.6499149799346924,0.6237173676490784","0.46088647842407227,0.6190587282180786","0.6463605761528015,0.6185590624809265","0.46444612741470337,0.6144005060195923","0.5948426723480225,0.6008874177932739","0.5061049461364746,0.5972679853439331","0.5980582237243652,0.723432719707489","0.5239101648330688,0.7087103128433228","0.6114136576652527,0.8403711318969727","0.5520533919334412,0.8122532963752747","0.6038854122161865,0.8531960248947144","0.5608997941017151,0.8223990201950073","0.6283625960350037,0.8796619176864624","0.5277299880981445,0.8444229364395142"
6,"0.556695282459259,0.4081750810146332","0.5666610598564148,0.398990273475647","0.5724372267723083,0.3990595042705536","0.578328549861908,0.39921122789382935","0.5477979183197021,0.39899712800979614","0.5408090353012085,0.39905446767807007","0.5350252985954285,0.3993616998195648","0.5865969657897949,0.40293222665786743","0.5273603796958923,0.4026268422603607","0.5660130977630615,0.41800302267074585","0.543250322341919,0.41923704743385315","0.634801983833313,0.4514363706111908","0.4791273772716522,0.4570437967777252","0.6593490839004517,0.5265032649040222","0.46429845690727234,0.5324438810348511","0.663568377494812,0.6007868647575378","0.45375001430511475,0.5999942421913147","0.6642204523086548,0.6244421005249023","0.45208871364593506,0.6199703812599182","0.6524051427841187,0.6222954392433167","0.4602581560611725,0.619990885257721","0.6486333012580872,0.6169970631599426","0.464465469121933,0.6153247952461243","0.5968129634857178,0.6011708378791809","0.5082735419273376,0.5977909564971924","0.5982630848884583,0.7240881323814392","0.5273134708404541,0.7098214626312256","0.6120467185974121,0.8408888578414917","0.5529998540878296,0.812281608581543","0.6041592955589294,0.8539301753044128","0.5624955296516418,0.8232144117355347","0.6260843276977539,0.8798782229423523","0.5260179042816162,0.8443472981452942"
7,"0.5565484166145325,0.40815162658691406","0.5667240619659424,0.39890390634536743","0.5724348425865173,0.3989751935005188","0.5788196325302124,0.39911994338035583","0.5475640296936035,0.3989240229129791","0.5405563116073608,0.3989843428134918","0.5340322852134705,0.3993053138256073","0.5868391394615173,0.4028872549533844","0.5267661809921265,0.4026443362236023","0.5664977431297302,0.4182310104370117","0.5433530211448669,0.41938862204551697","0.6360383033752441,0.4515353739261627","0.4797525107860565,0.4576129913330078","0.6599186658859253,0.5260112881660461","0.4633030295372009,0.5326218605041504","0.6628930568695068,0.6003466844558716","0.45402997732162476,0.6012080311775208","0.6637557148933411,0.6241682767868042","0.45279061794281006,0.6213337182998657","0.6521897912025452,0.6219349503517151","0.46211326122283936,0.6213094592094421","0.648389995098114,0.6165253520011902","0.4665219187736511,0.6163225173950195","0.5982013940811157,0.6013826727867126","0.5093119144439697,0.5980671644210815","0.5984398126602173,0.7245123982429504","0.5275792479515076,0.7103456854820251","0.6124703884124756,0.8417731523513794","0.5531789660453796,0.8124265670776367","0.6042531132698059,0.8555375337600708","0.5628010630607605,0.8241063356399536","0.6270322799682617,0.8806091547012329","0.5256054997444153,0.8444158434867859"
8,"0.5568771362304688,0.40815019607543945","0.5668112635612488,0.39886611700057983","0.5726634860038757,0.3989289700984955","0.5790739059448242,0.39906102418899536","0.5479360222816467,0.3988843858242035","0.5412201881408691,0.39892929792404175","0.5343034267425537,0.3992518186569214","0.5862613320350647,0.40287190675735474","0.5264993906021118,0.4026370942592621","0.566778838634491,0.4182313084602356","0.5436331033706665,0.41933074593544006","0.6359139680862427,0.45164918899536133","0.47910618782043457,0.4576941132545471","0.659756064414978,0.5253350734710693","0.4636855721473694,0.5324390530586243","0.6626562476158142,0.5987966656684875","0.4542345702648163,0.601396918296814","0.6637834906578064,0.6232120990753174","0.4531175494194031,0.6217156052589417","0.65241539478302,0.6212330460548401","0.4627053439617157,0.6215168237686157","0.6486576795578003,0.6157857775688171","0.46694082021713257,0.6163748502731323","0.5988366007804871,0.6007177233695984","0.509784460067749,0.5976136922836304","0.5980914831161499,0.7240620851516724","0.527019739151001,0.7102407217025757","0.6126583814620972,0.8418180346488953","0.5532041192054749,0.8125147819519043","0.6044229865074158,0.8554633855819702","0.5628343224525452,0.8242462277412415","0.6271562576293945,0.8805638551712036","0.5256571173667908,0.8440119624137878"
9,"0.5554794669151306,0.4080796241760254","0.5655181407928467,0.398812472820282","0.5714832544326782,0.39888325333595276","0.5780799984931946,0.3990292251110077","0.5469502210617065,0.398837685585022","0.540550708770752,0.39890211820602417","0.5335594415664673,0.39923205971717834","0.5855276584625244,0.40270137786865234","0.5259819030761719,0.40246257185935974","0.5656532049179077,0.4181675910949707","0.5427021980285645,0.4192926287651062","0.6357568502426147,0.45162153244018555","0.47815755009651184,0.45742350816726685","0.6601098775863647,0.5251969695091248","0.4632818400859833,0.5321702361106873","0.6629208326339722,0.5977841019630432","0.453689843416214,0.6015805006027222","0.6644192337989807,0.6223264932632446","0.4528842568397522,0.621793270111084","0.6531369686126709,0.6205281019210815","0.46242475509643555,0.6216073036193848","0.6494169235229492,0.6151612997055054","0.46632587909698486,0.6164013147354126","0.5991517901420593,0.6000613570213318","0.5097174644470215,0.5973182320594788","0.5977652072906494,0.7238017320632935","0.5264573693275452,0.7103464007377625","0.6127786636352539,0.8417028188705444","0.5535914301872253,0.8125394582748413","0.6052222847938538,0.8550217747688293","0.563598096370697,0.8244314193725586","0.6257572770118713,0.8805221319198608","0.525874674320221,0.844516932964325"
10,"0.5551365613937378,0.40804147720336914","0.5652605891227722,0.39878419041633606","0.5716387629508972,0.3988676071166992","0.5780931115150452,0.39901456236839294","0.5466701984405518,0.3988264799118042","0.5403897762298584,0.39885228872299194","0.5335118770599365,0.39914000034332275","0.585746705532074,0.4025542140007019","0.5255342125892639,0.4022556245326996","0.5658344626426697,0.41812601685523987","0.5425601005554199,0.41923031210899353","0.6366791725158691,0.45173054933547974","0.4775521457195282,0.4573540687561035","0.6604660153388977,0.525516927242279","0.4623012840747833,0.5324908494949341","0.6632133722305298,0.5971229076385498","0.4536561667919159,0.6023769378662109","0.6647974848747253,0.6219625473022461","0.4531683623790741,0.622272789478302","0.6533889174461365,0.6200312972068787","0.462873637676239,0.6219426989555359","0.6496626734733582,0.6145855188369751","0.4666415750980377,0.6166887283325195","0.5993853807449341,0.6002157926559448","0.5096261501312256,0.5974763631820679","0.5973396897315979,0.7239763140678406","0.5257774591445923,0.7107254266738892","0.6129640936851501,0.8415743112564087","0.5534250140190125,0.8125895261764526","0.6052725315093994,0.8547787666320801","0.5635586380958557,0.8244463801383972","0.6256576776504517,0.8807032704353333","0.5260762572288513,0.8444743156433105"
