Frame,Landmark_0,Landmark_1,Landmark_2,Landmark_3,Landmark_4,Landmark_5,Landmark_6,Landmark_7,Landmark_8,Landmark_9,Landmark_10,Landmark_11,Landmark_12,Landmark_13,Landmark_14,Landmark_15,Landmark_16,Landmark_17,Landmark_18,Landmark_19,Landmark_20,Landmark_21,Landmark_22,Landmark_23,Landmark_24,Landmark_25,Landmark_26,Landmark_27,Landmark_28,Landmark_29,Landmark_30,Landmark_31,Landmark_32
1,"0.5416733026504517,0.3173888921737671","0.5552548170089722,0.302282452583313","0.5629113912582397,0.3016359806060791","0.5702497959136963,0.30088335275650024","0.5308979749679565,0.3028596043586731","0.5223536491394043,0.30260685086250305","0.5141986012458801,0.3022328317165375","0.5818237662315369,0.297203004360199","0.5038732886314392,0.2992786169052124","0.5570672750473022,0.327666699886322","0.526896595954895,0.32800525426864624","0.6615713834762573,0.3507043123245239","0.4456683397293091,0.3552796244621277","0.6921339631080627,0.4385441243648529","0.4413951337337494,0.4481273591518402","0.6660047769546509,0.5077188014984131","0.46279704570770264,0.5108166933059692","0.6583200693130493,0.5328982472419739","0.46133264899253845,0.530987560749054","0.6487514972686768,0.5273687839508057","0.469418466091156,0.5283316373825073","0.6453368663787842,0.5212772488594055","0.47694018483161926,0.5206741690635681","0.6111434698104858,0.5243762731552124","0.5015203952789307,0.5271487832069397","0.600718080997467,0.6722179651260376","0.5281419157981873,0.6687784194946289","0.5552501082420349,0.814780056476593","0.5436474680900574,0.8008447885513306","0.5593907833099365,0.8328062295913696","0.5541530847549438,0.8142336010932922","0.5590413808822632,0.8689174652099609","0.5546398758888245,0.8439234495162964"
2,"0.5379155278205872,0.3175029754638672","0.5515990853309631,0.3024229407310486","0.5599831342697144,0.301670104265213","0.568168580532074,0.30089086294174194","0.5272747874259949,0.3033679127693176","0.5191778540611267,0.3030960261821747","0.5118550658226013,0.3027007579803467","0.5807992219924927,0.2975497245788574","0.5038650631904602,0.2994990944862366","0.5541991591453552,0.32755404710769653","0.5241453647613525,0.32786649465560913","0.6618455052375793,0.3507685959339142","0.44565993547439575,0.35519325733184814","0.6915341019630432,0.4426333010196686","0.4418201446533203,0.4473530650138855","0.6661058068275452,0.5160709619522095","0.453978568315506,0.5143435001373291","0.6598398685455322,0.5420026779174805","0.45544761419296265,0.5341228246688843","0.6486666202545166,0.5403212308883667","0.4636026918888092,0.53117835521698","0.6453329920768738,0.5314736366271973","0.4688465893268585,0.525813102722168","0.6109223961830139,0.5236811637878418","0.49822452664375305,0.5260571241378784","0.6011616587638855,0.6698309183120728","0.5217180252075195,0.6692206263542175","0.5581987500190735,0.81682950258255","0.5360166430473328,0.809590220451355","0.5596952438354492,0.8337575197219849","0.5461282730102539,0.8250975608825684","0.5617230534553528,0.8730838894844055","0.5534231662750244,0.857567310333252"
3,"0.5381610989570618,0.3174426257610321","0.5524922013282776,0.30239686369895935","0.5612739324569702,0.3016614615917206","0.5698274970054626,0.3008999824523926","0.5274890661239624,0.3031150698661804","0.5193665027618408,0.3026394248008728","0.5119130611419678,0.3020418584346771","0.5812249779701233,0.2983214259147644","0.5039723515510559,0.29915446043014526","0.5542471408843994,0.32753363251686096","0.5241334438323975,0.327382892370224","0.661841630935669,0.35079652070999146","0.4453872740268707,0.35511812567710876","0.6904815435409546,0.44259029626846313","0.4432692229747772,0.446384996175766","0.6665980219841003,0.5157331824302673","0.4501684308052063,0.5129076242446899","0.6617913842201233,0.5415009260177612","0.449903666973114,0.5331225991249084","0.6488256454467773,0.5392296314239502","0.4570372402667999,0.530352771282196","0.6456672549247742,0.5303977727890015","0.46174320578575134,0.5254248380661011","0.610329270362854,0.5191774964332581","0.49581336975097656,0.5237696170806885","0.6006942391395569,0.6603432893753052","0.5208857655525208,0.6672230958938599","0.5603827834129333,0.8178359866142273","0.5372190475463867,0.8137392997741699","0.5575684309005737,0.8350309133529663","0.5373772382736206,0.8331507444381714","0.5621066689491272,0.8748419880867004","0.5525921583175659,0.861271858215332"
4,"0.5394019484519958,0.31864726543426514","0.5539082288742065,0.30414366722106934","0.5629388689994812,0.3033095598220825","0.5715805292129517,0.3024878203868866","0.5286526679992676,0.3044140040874481","0.5206422805786133,0.3036090135574341","0.513029932975769,0.3027530908584595","0.5821785926818848,0.29985734820365906","0.5047224760055542,0.29945138096809387","0.5550505518913269,0.3287145495414734","0.524852991104126,0.3277915418148041","0.662225604057312,0.3512396812438965","0.4453807771205902,0.3551318943500519","0.69010990858078,0.44602471590042114","0.44387975335121155,0.4466497004032135","0.6656087040901184,0.5188722610473633","0.44975602626800537,0.5160509347915649","0.661148726940155,0.5441851615905762","0.44875675439834595,0.535298764705658","0.646176278591156,0.5416541695594788","0.4567910134792328,0.5331023335456848","0.6431533694267273,0.5327025055885315","0.4621795117855072,0.5279911756515503","0.609183669090271,0.5194422602653503","0.4946611523628235,0.5238565802574158","0.6005843281745911,0.6590895652770996","0.5197818279266357,0.6673375368118286","0.5620695948600769,0.817791759967804","0.5393409132957458,0.8177645802497864","0.5554234981536865,0.8352257609367371","0.5367963910102844,0.8400865793228149","0.5621671676635742,0.872646152973175","0.5507616996765137,0.862555980682373"
5,"0.5430783033370972,0.31495147943496704","0.5577434301376343,0.30063048005104065","0.5668354034423828,0.3001357316970825","0.5748158097267151,0.29977625608444214","0.5319181084632874,0.30071499943733215","0.5236107110977173,0.300115704536438","0.515779435634613,0.2994326949119568","0.5845032334327698,0.2987462282180786","0.5055795311927795,0.2973645329475403","0.5577864050865173,0.3251405358314514","0.5269004106521606,0.32441338896751404","0.6624650359153748,0.3507586121559143","0.4453258216381073,0.3534993827342987","0.690096378326416,0.4450705945491791","0.44616520404815674,0.44369107484817505","0.6656168103218079,0.517766535282135","0.450349897146225,0.5134760141372681","0.6608405709266663,0.5424985885620117","0.4490819573402405,0.5340510010719299","0.6459611654281616,0.5409787893295288","0.45678672194480896,0.5318722724914551","0.6431657671928406,0.5309748649597168","0.4618871510028839,0.5261319279670715","0.6091673374176025,0.516076922416687","0.4947856068611145,0.5211545825004578","0.6003572940826416,0.6602791547775269","0.5182662010192871,0.6642032861709595","0.564148485660553,0.8177620768547058","0.5395292043685913,0.8027015924453735","0.5566686391830444,0.8352149128913879","0.5365201234817505,0.8318025469779968","0.5609967708587646,0.8726149797439575","0.5443650484085083,0.8569196462631226"
6,"0.5433741807937622,0.3132278025150299","0.5588107109069824,0.29855310916900635","0.568278431892395,0.2982030510902405","0.5762361288070679,0.2980729043483734","0.5321929454803467,0.2985598146915436","0.523868203163147,0.2979765236377716","0.5159189701080322,0.29731863737106323","0.5866239070892334,0.2980486750602722","0.5059811472892761,0.2956642806529999","0.5581094026565552,0.3240357041358948","0.5269518494606018,0.3234013617038727","0.662613034248352,0.34977686405181885","0.4452991485595703,0.35105475783348083","0.6920272707939148,0.4393429160118103","0.4474656283855438,0.4396155774593353","0.6692765355110168,0.5048789978027344","0.4499320983886719,0.5045494437217712","0.663709282875061,0.5286649465560913","0.4469383656978607,0.5258837342262268","0.6502162218093872,0.5260275602340698","0.45391929149627686,0.5253294706344604","0.6490103602409363,0.5159319043159485","0.45883888006210327,0.5183333158493042","0.6097380518913269,0.5164180994033813","0.49492934346199036,0.5213980078697205","0.6020349860191345,0.6604747176170349","0.5078756213188171,0.6617088317871094","0.5649011731147766,0.8229941129684448","0.5409021377563477,0.8029105067253113","0.5577170252799988,0.8370513916015625","0.5523303747177124,0.8257337808609009","0.5608418583869934,0.8730562329292297","0.5460913181304932,0.8545581102371216"
7,"0.543742299079895,0.3103201985359192","0.5595281720161438,0.2961115837097168","0.5689916014671326,0.29585808515548706","0.5769383311271667,0.2958245575428009","0.5329347252845764,0.29607880115509033","0.5246710181236267,0.2956005930900574","0.5167702436447144,0.2950384020805359","0.5877410769462585,0.296104371547699","0.5071887373924255,0.29318976402282715","0.5584697723388672,0.3211659789085388","0.5271381735801697,0.3208758234977722","0.6627007722854614,0.3488512337207794","0.4458123445510864,0.3497132658958435","0.6970967054367065,0.4359534680843353","0.4494355618953705,0.4398060441017151","0.672781229019165,0.4980168342590332","0.4500776529312134,0.5041092038154602","0.6659737229347229,0.5229382514953613","0.4472079873085022,0.5262365937232971","0.652730405330658,0.5189026594161987","0.45406633615493774,0.5254474878311157","0.6521395444869995,0.5089257955551147","0.4559881389141083,0.5179057717323303","0.6105591058731079,0.516741931438446","0.496865451335907,0.5214204788208008","0.6011148691177368,0.6690136194229126","0.48516765236854553,0.6600898504257202","0.5649126768112183,0.8225642442703247","0.5242063999176025,0.7667351961135864","0.5577277541160583,0.8370158076286316","0.5407409071922302,0.774039089679718","0.5606501698493958,0.8730144500732422","0.5218048095703125,0.8082504272460938"
8,"0.5443518757820129,0.3009151816368103","0.5607900023460388,0.2880381941795349","0.5703383684158325,0.288467675447464","0.5780540108680725,0.2889803647994995","0.5340143442153931,0.28706294298171997","0.525728702545166,0.28676360845565796","0.5178549289703369,0.286446213722229","0.5893040895462036,0.2916243076324463","0.5082927942276001,0.28708821535110474","0.5592167377471924,0.31417790055274963","0.5272430181503296,0.31339094042778015","0.6624055504798889,0.34841737151145935","0.4458427429199219,0.34971344470977783","0.7027283906936646,0.4359300136566162","0.44957059621810913,0.4398685097694397","0.6729620695114136,0.4995083808898926","0.4502190053462982,0.5074769258499146","0.6658769249916077,0.5232298374176025","0.44725853204727173,0.532690167427063","0.6526411771774292,0.5200470685958862","0.4541991055011749,0.5339509844779968","0.65190589427948,0.5108586549758911","0.4567861258983612,0.5252569913864136","0.6105192303657532,0.5175124406814575","0.4971879720687866,0.521476149559021","0.6043448448181152,0.664749264717102","0.48442068696022034,0.6587345004081726","0.5649241209030151,0.8135212659835815","0.5260113477706909,0.7739802598953247","0.5574766993522644,0.8268152475357056","0.5389211773872375,0.7829261422157288","0.5575669407844543,0.8637035489082336","0.5090924501419067,0.8183306455612183"
9,"0.5443457961082458,0.298026978969574","0.5607988834381104,0.2852672040462494","0.5702610611915588,0.28578391671180725","0.5779994130134583,0.286451131105423","0.534430205821991,0.2840249836444855","0.5263413190841675,0.2836270332336426","0.5186613202095032,0.28322675824165344","0.5893974900245667,0.28965696692466736","0.5106443762779236,0.2840460240840912","0.5591844916343689,0.3117988407611847","0.5272462368011475,0.31094884872436523","0.6604169011116028,0.3480508327484131","0.4458691477775574,0.3484519422054291","0.7063539028167725,0.4319426417350769","0.4487294852733612,0.44022423028945923","0.6794339418411255,0.4917678236961365","0.45001059770584106,0.5069199800491333","0.6705833673477173,0.516726016998291","0.446715772151947,0.532432496547699","0.6579074263572693,0.5113365054130554","0.4526278078556061,0.5335251092910767","0.6569544672966003,0.5025959014892578","0.4490392804145813,0.5249909162521362","0.6096174120903015,0.5187301635742188","0.497628778219223,0.5220482349395752","0.6052091717720032,0.6655142903327942","0.48068109154701233,0.6605420708656311","0.5615644454956055,0.8138128519058228","0.52745121717453,0.7851855158805847","0.5546620488166809,0.8278120160102844","0.536678671836853,0.7997928857803345","0.5443032383918762,0.8636199235916138","0.509223461151123,0.8245073556900024"
10,"0.5447164177894592,0.2978525757789612","0.5611434578895569,0.2849046587944031","0.5704523921012878,0.2853752374649048","0.5781503319740295,0.2860146164894104","0.535377562046051,0.28395989537239075","0.5273755192756653,0.28369492292404175","0.5198582410812378,0.28340327739715576","0.5894695520401001,0.28917157649993896","0.511770486831665,0.28415071964263916","0.5594699382781982,0.31153810024261475","0.5276073217391968,0.31088805198669434","0.6596207618713379,0.34799471497535706","0.44610506296157837,0.3483127951622009","0.7082427740097046,0.43109726905822754","0.4486865997314453,0.44037383794784546","0.6817853450775146,0.48955678939819336","0.45013096928596497,0.5068559646606445","0.6721215844154358,0.5150415897369385","0.4467804729938507,0.5323501825332642","0.6595673561096191,0.5092631578445435","0.45242637395858765,0.5333431959152222","0.6586352586746216,0.5006355047225952","0.4470435678958893,0.5247727632522583","0.6089667677879333,0.52008056640625","0.4979541301727295,0.5224289894104004","0.6053404211997986,0.6659497022628784","0.47775352001190186,0.6615106463432312","0.560778796672821,0.8120875358581543","0.5283592939376831,0.7864824533462524","0.5511237382888794,0.82811039686203","0.5342376828193665,0.8030387759208679","0.5389177799224854,0.8603399395942688","0.5092124342918396,0.8268491625785828"
